Image,Blur,Brightness,Contrast,Sharpness,Noise,Quality,Status
powdery_mildew2.png,2622.61,128.06,45.24,150.4,15.91,0.833,Good
Cercospora_(7).jpg,624.09,133.5,42.84,51.55,7.49,0.833,Good
spider_mite.jpg,1323.25,149.26,45.7,74.69,9.77,0.832,Good
test6.jpg,1415.21,88.22,59.25,82.98,10.81,0.832,Good
IMG_20260228_090238.jpg,728.34,145.15,40.42,93.54,8.53,0.832,Good
leaf spor.jpg,411.39,108.35,37.6,70.88,6.24,0.832,Good
IMG_20260228_090238(1).jpg,728.38,145.15,40.42,93.53,8.52,0.832,Good
t3.jpg,512.38,152.18,49.31,53.32,6.31,0.832,Good
algal_spot7.jpg,1193.43,101.62,48.27,97.67,9.75,0.831,Good
pest_disesase15.png,481.49,126.09,36.35,52.32,6.32,0.831,Good
wilt3.jpg,1537.29,125.65,36.61,103.8,11.41,0.831,Good
IMG_4942.jpg,273.93,141.06,60.74,42.19,4.76,0.831,Good
test2.jpg,873.51,105.89,42.87,69.49,8.34,0.831,Good
antherconose2.jpg,1310.4,114.09,41.26,74.56,9.99,0.831,Good
magnesium.jpeg,1940.9,125.1,40.02,105.74,12.84,0.831,Good
wilt2.jpg,3043.11,123.22,45.66,126.13,15.1,0.831,Good
test5.jpg,336.42,122.24,49.11,42.91,5.19,0.831,Good
4.0.jpg,1016.63,134.71,36.9,94.49,10.06,0.831,Good
IMG-20260325-WA0022.jpg,579.6,118.09,43.38,51.1,6.42,0.831,Good
Black sooty Mould 3.jpg,1690.25,142.39,45.49,101.0,12.07,0.831,Good
cercospera Leaf spot8.jpg,601.23,106.44,40.35,76.94,7.45,0.83,Good
pest_disesase12.png,642.67,110.56,37.87,65.48,7.48,0.83,Good
magnes14.png,322.09,127.71,34.28,51.16,5.1,0.83,Good
bcatrial leaf blight13.png,1032.15,114.62,39.26,85.22,9.37,0.83,Good
nitrogen2.jpg,1034.01,117.82,39.5,115.84,10.66,0.83,Good
IMG_8741.jpg,2093.42,140.25,44.09,100.52,12.36,0.829,Good
Brinjal flower.jpg,737.27,114.11,43.97,52.87,7.0,0.829,Good
